Nombre,Especie,SpecID,PassNonPass,IOCOrder,BLFamilyLatin,BLFamilyEnglish,BLFamSequID,Taxo,English,Diet-Inv,Diet-Vend,Diet-Vect,Diet-Vfish,Diet-Vunk,Diet-Scav,Diet-Fruit,Diet-Nect,Diet-Seed,Diet-PlantO,Diet-5Cat,Diet-Source,Diet-Certainty,Diet-EnteredBy,ForStrat-watbelowsurf,ForStrat-wataroundsurf,ForStrat-ground,ForStrat-understory,ForStrat-midhigh,ForStrat-canopy,ForStrat-aerial,PelagicSpecialist,ForStrat-Source,ForStrat-SpecLevel,ForStrat-EnteredBy,Nocturnal,BodyMass-Value,BodyMass-Source,BodyMass-SpecLevel,BodyMass-Comment,Record-Comment
JOTE CABEZA ROJA,Cathartes aura,5349,Nonpasseriformes,Accipitriformes,Cathartidae,New World vultures,34,BL3,Turkey Vulture,0,0,0,0,0,100,0,0,0,0,VertFishScav,Ref_2,A,Jennifer,0,0,100,0,0,0,0,0,Ref_2,1,Jessica,0,1518.24,Dunning08,1,NA,NA
CHURRETE COSTERO,Cinclodes nigrofumosus,6655,Passeriformes,Passeriformes,Furnariidae,Ovenbirds,110,BL3,Seaside Cinclodes,80,0,0,20,0,0,0,0,0,0,Invertebrate,Ref_8,A,Jennifer,0,0,100,0,0,0,0,0,Ref_8,1,Jessica,0,64.96,Dunning08,1,NA,NA
CHURRETE CHICO,Cinclodes oustaleti,6648,Passeriformes,Passeriformes,Furnariidae,Ovenbirds,110,BL3,Grey-flanked Cinclodes,100,0,0,0,0,0,0,0,0,0,Invertebrate,Ref_8,A,Jennifer,0,0,100,0,0,0,0,0,Ref_8,1,Jessica,0,30.5,Dunning08,1,NA,NA
CHURRETE COMUN,Cinclodes patagonicus,6652,Passeriformes,Passeriformes,Furnariidae,Ovenbirds,110,BL3,Dark-bellied Cinclodes,100,0,0,0,0,0,0,0,0,0,Invertebrate,Ref_8,A,Jennifer,0,0,100,0,0,0,0,0,Ref_8,1,Jessica,0,30.7,Dunning08,1,NA,NA
PALOMA,Columba livia,3315,Nonpasseriformes,Columbiformes,Columbidae,Doves and pigeons,65,BL3,Rock Pigeon,10,0,0,0,0,0,0,0,60,30,PlantSeed,Ref_4,A,Carolina,0,0,80,20,0,0,0,0,Ref_4,1,Jessica,0,354.2,Dunning08,1,NA,NA
JOTE CABEZA NEGRA,Coragyps atratus,5348,Nonpasseriformes,Accipitriformes,Cathartidae,New World vultures,34,BL3,Black Vulture,0,10,10,10,0,70,0,0,0,0,VertFishScav,Ref_2,A,Jennifer,0,0,100,0,0,0,0,0,Ref_2,1,Jessica,0,1881.69,Dunning08,1,NA,NA
TORDO,Curaeus curaeus,13425,Passeriformes,Passeriformes,Icteridae,New World blackbirds,190,BL3,Austral Blackbird,60,10,0,0,0,0,0,30,0,0,Invertebrate,Ref_23,A,NA,0,0,50,50,0,0,0,0,Ref_35,1,Christian,0,83.7,Dunning08,1,NA,NA
DIUCA,Diuca diuca,13112,Passeriformes,Passeriformes,Emberizidae,"Buntings, American sparrows and allies",192,BL3,Common Diuca-finch,0,0,0,0,0,0,0,0,100,0,PlantSeed,Ref_24,A,Jennifer,0,0,80,20,0,0,0,0,"Ref_33
",1,Christian,0,36.8,Dunning08,1,NA,NA
TAGUA COMUN,Fulica armillata,3946,Nonpasseriformes,Gruiformes,Rallidae,"Rails, crakes and allies",42,BL3,Red-gartered Coot,0,0,0,0,0,0,0,0,0,100,PlantSeed,Ref_3,A,Carolina,70,30,0,0,0,0,0,0,Ref_3,1,Jessica,0,1040,Dunning08,1,NA,NA
PILPILEN NEGRO,Haematopus ater,4205,Nonpasseriformes,Charadriiformes,Haematopodidae,Oystercatchers,50,BL3,Blackish Oystercatcher,100,0,0,0,0,0,0,0,0,0,Invertebrate,Ref_3,A,Carolina,0,0,100,0,0,0,0,0,Ref_3,1,Jessica,0,724,Dunning08,1,NA,NA
PILPILEN,Haematopus palliatus,4200,Nonpasseriformes,Charadriiformes,Haematopodidae,Oystercatchers,50,BL3,American Oystercatcher,100,0,0,0,0,0,0,0,0,0,Invertebrate,Ref_3,A,Carolina,0,0,100,0,0,0,0,0,Ref_3,1,Jessica,0,601.45,Dunning08,1,NA,NA
PERRITO,Himantopus mexicanus,19902,Nonpasseriformes,Charadriiformes,Recurvirostridae,Stilts and avocets,53,BL3,Black-necked Stilt,100,0,0,0,0,0,0,0,0,0,Invertebrate,Ref_3,A,Carolina,0,100,0,0,0,0,0,0,Ref_3,1,Jessica,0,176.82,Dunning08,1,NA,NA
MONJA,Larosterna inca,4498,Nonpasseriformes,Charadriiformes,Laridae,Gulls and terns,61,BL3,Inca Tern,20,0,0,60,0,20,0,0,0,0,VertFishScav,Ref_3,A,Carolina,0,100,0,0,0,0,0,1,Ref_3,1,Jessica,0,219,Dunning08,1,NA,NA
GAVIOTA,Larus dominicanus,4385,Nonpasseriformes,Charadriiformes,Laridae,Gulls and terns,61,BL3,Kelp Gull,20,20,20,20,0,20,0,0,0,0,VertFishScav,Ref_3,A,Carolina,0,50,50,0,0,0,0,1,Ref_3,1,Jessica,0,952.43,Dunning08,1,NA,NA
COLEGIAL,Lessonia rufa,6112,Passeriformes,Passeriformes,Tyrannidae,Tyrant-flycatchers,105,BL3,Patagonian Negrito,100,0,0,0,0,0,0,0,0,0,Invertebrate,Ref_9,A,Carolina,0,0,100,0,0,0,0,0,Ref_9,1,Jessica,0,13.4,Dunning08,1,NA,NA
GARUMA,Leucophaeus modestus,4372,Nonpasseriformes,Charadriiformes,Laridae,Gulls and terns,61,BL3,Grey Gull,70,0,0,20,0,10,0,0,0,0,Invertebrate,Ref_3,A,Carolina,0,70,30,0,0,0,0,0,Ref_3,1,Other,0,344,Dunning08,1,NA,NA
FRANKLIN,Leucophaeus pipixcan,4434,Nonpasseriformes,Charadriiformes,Laridae,Gulls and terns,61,BL3,Franklin's Gull,40,10,0,10,0,0,0,0,20,20,Omnivore,Ref_3,A,Carolina,0,30,40,30,0,0,0,0,Ref_3,1,Other,0,280,Dunning08,1,NA,NA
TIUQUE,Milvago chimango,4928,Nonpasseriformes,Falconiformes,Falconidae,Falcons and caracaras,35,BL3,Chimango Caracara,20,20,10,0,0,50,0,0,0,0,VertFishScav,Ref_2,A,Jennifer,0,0,100,0,0,0,0,0,Ref_2,1,Jessica,0,296,Dunning08,1,NA,NA
TENCA,Mimus thenca,9572,Passeriformes,Passeriformes,Mimidae,Mockingbirds and thrashers,175,BL3,Chilean Mockingbird,50,0,0,0,0,0,50,0,0,0,Omnivore,Ref_10,B,Carolina,0,0,60,20,20,0,0,0,Ref_10,1,Jessica,0,65.99,Dunning08,1,NA,NA
MIRLO,Molothrus bonariensis,13448,Passeriformes,Passeriformes,Icteridae,New World blackbirds,190,BL3,Shiny Cowbird,70,0,0,0,0,0,0,0,30,0,Invertebrate,Ref_23,A,NA,0,0,100,0,0,0,0,0,Ref_35,1,Christian,0,41.49,Dunning08,1,NA,NA
COTORRA ARGENTINA,Myiopsitta monachus,2226,Nonpasseriformes,Psittaciformes,Psittacidae,Parrots,68,BL3,Monk Parakeet,10,0,0,0,0,0,30,0,30,30,PlantSeed,Ref_4,A,Carolina,0,0,20,20,40,20,0,0,Ref_4,1,Jessica,0,120,Dunning08,1,NA,NA
HUAIRAVO,Nycticorax nycticorax,5182,Nonpasseriformes,Pelecaniformes,Ardeidae,Herons and egrets,25,BL3,Black-crowned Night-heron,30,20,30,20,0,0,0,0,0,0,VertFishScav,Ref_1,A,Jennifer,0,50,50,0,0,0,0,0,Ref_1,1,Jessica,0,810,Dunning08,1,NA,NA
GORRION,Passer domesticus,11753,Passeriformes,Passeriformes,Passeridae,"Sparrows, snowfinches and allies",183,BL3,House Sparrow,10,0,0,0,0,0,0,0,60,30,PlantSeed,Ref_14,A,Carolina,0,0,50,50,0,0,0,0,Ref_27,1,Jessica,0,26.51,Dunning08,1,NA,NA
PELICANO COMÃšN,Pelecanus thagus,19925,Nonpasseriformes,Pelecaniformes,Pelecanidae,Pelicans,30,BL3,Peruvian Pelican,10,0,0,80,0,10,0,0,0,0,VertFishScav,Ref_1,A,Jennifer,100,0,0,0,0,0,0,0,Ref_1,1,Jessica,0,3427.84,Dunning08,1,NA,NA
GUANAY,Phalacrocorax bougainvillii,5100,Nonpasseriformes,Suliformes,Phalacrocoracidae,Cormorants,32,BL3,Guanay Cormorant,0,0,0,100,0,0,0,0,0,0,VertFishScav,Ref_1,A,Jennifer,100,0,0,0,0,0,0,1,Ref_1,1,Jessica,0,2485,Dunning08,1,NA,NA
CORMORAN,Phalacrocorax brasilianus,5089,Nonpasseriformes,Suliformes,Phalacrocoracidae,Cormorants,32,BL3,Neotropic Cormorant,30,0,20,50,0,0,0,0,0,0,VertFishScav,Ref_1,A,Jennifer,100,0,0,0,0,0,0,0,Ref_1,1,Jessica,0,1239.29,Dunning08,1,NA,NA
LILE,Phalacrocorax gaimardi,5118,Nonpasseriformes,Suliformes,Phalacrocoracidae,Cormorants,32,BL3,Red-legged Cormorant,0,0,0,100,0,0,0,0,0,0,VertFishScav,Ref_1,A,Jennifer,100,0,0,0,0,0,0,1,Ref_1,1,Jessica,0,1358.34,Dunning08,1,NA,NA
RARA,Phytotoma rara,6270,Passeriformes,Passeriformes,Cotingidae,Cotingas,104,BL3,Rufous-tailed Plantcutter,10,0,0,0,0,0,10,0,0,80,PlantSeed,Ref_9,A,Carolina,0,0,40,30,30,0,0,0,Ref_9,1,Jessica,0,47,Dunning08,1,NA,NA
BLANQUILLO,Podiceps occipitalis,5018,Nonpasseriformes,Podicipediformes,Podicipedidae,Grebes,21,BL3,Silvery Grebe,90,0,0,10,0,0,0,0,0,0,Invertebrate,Ref_1,A,Jennifer,50,50,0,0,0,0,0,0,Ref_1,1,Jessica,0,320.69,Dunning08,1,NA,NA
GOLONDRINA DORSO NEGRO,Pygochelidon cyanoleuca,10021,Passeriformes,Passeriformes,Hirundinidae,Swallows and martins,156,BL3,Blue-and-white Swallow,100,0,0,0,0,0,0,0,0,0,Invertebrate,Ref_9,A,Carolina,0,0,0,0,100,0,0,0,Ref_9,1,Jessica,0,9.7,Dunning08,1,NA,NA
PIQUERO,Sula variegata,5058,Nonpasseriformes,Suliformes,Sulidae,Gannets and boobies,31,BL3,Peruvian Booby,0,0,0,100,0,0,0,0,0,0,VertFishScav,Ref_1,A,Jennifer,100,0,0,0,0,0,0,1,Ref_1,1,Jessica,0,1432.48,Dunning08,1,NA,NA
GOLONDRINA CHILENA,Tachycineta meyeni,9998,Passeriformes,Passeriformes,Hirundinidae,Swallows and martins,156,BL3,Chilean Swallow,100,0,0,0,0,0,0,0,0,0,Invertebrate,Ref_9,A,Carolina,0,0,0,80,20,0,0,0,Ref_9,1,Jessica,0,14.9,Dunning08,1,NA,NA
CHERCAN,Troglodytes aedon,9753,Passeriformes,Passeriformes,Troglodytidae,Wrens,162,BL3,House Wren,80,0,0,0,0,0,0,0,0,20,Invertebrate,Ref_10,A,Carolina,0,0,0,100,0,0,0,0,Ref_10,1,Jessica,0,10.85,Dunning08,1,NA,NA
ZORZAL,Turdus falcklandii,8986,Passeriformes,Passeriformes,Turdidae,Thrushes,178,BL3,Austral Thrush,50,0,0,0,0,0,50,0,0,0,Omnivore,Ref_10,A,Carolina,0,0,100,0,0,0,0,0,Ref_10,1,Jessica,0,93.89,Dunning08,1,NA,NA
QUELTEHUE,Vanellus chilensis,4308,Nonpasseriformes,Charadriiformes,Charadriidae,Plovers,54,BL3,Southern Lapwing,90,0,0,10,0,0,0,0,0,0,Invertebrate,Ref_3,A,Carolina,0,20,80,0,0,0,0,0,Ref_3,1,Jessica,0,327,Dunning08,1,NA,NA
TORTOLA,Zenaida auriculata,3441,Nonpasseriformes,Columbiformes,Columbidae,Doves and pigeons,65,BL3,Eared Dove,0,0,0,0,0,0,0,0,100,0,PlantSeed,Ref_4,A,Carolina,0,0,20,20,40,20,0,0,Ref_4,1,Jessica,0,110.2,Dunning08,1,NA,NA
CHINCOL,Zonotrichia capensis,12522,Passeriformes,Passeriformes,Emberizidae,"Buntings, American sparrows and allies",192,BL3,Rufous-collared Sparrow,30,0,0,0,0,0,0,0,50,20,PlantSeed,Ref_24,A,Jennifer,0,0,100,0,0,0,0,0,Ref_31,1,Christian,0,20.31,Dunning08,1,NA,NA
